Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,72.35,0.78,1.09%,72.64,71.34,2279400,11/30/2018
AAL,American Airlines Gp,40.16,1.74,4.53%,40.2,38.42,10015600,11/30/2018
AAP,Advance Auto Parts Inc,177.71,0.04,0.02%,178.91,175.01,1399600,11/30/2018
AAPL,Apple Inc,178.58,-0.97,-0.54%,180.33,177.03,39531500,11/30/2018
ABBV,Abbvie Inc,94.27,4.36,4.85%,94.27,89.87,12031700,11/30/2018
ABC,Amerisourcebergen Corp,88.9,-1.6,-1.77%,90.87,87.67,1934500,11/30/2018
ABMD,Abiomed Inc,332.68,0.69,0.21%,335.98,329.04,522900,11/30/2018
ABT,Abbott Laboratories,74.05,0.79,1.08%,74.23,73.07,8030500,11/30/2018
ACN,Accenture Plc,164.52,3.45,2.14%,164.54,160.98,5832700,11/30/2018
ADBE,Adobe Systems Inc,250.89,1.8,0.72%,251.57,247.09,5156600,11/30/2018
ADI,Analog Devices,91.92,2.4,2.68%,91.97,88.79,3335800,11/30/2018
ADM,Archer Daniels Midland Company,46.02,-0.02,-0.04%,46.28,45.92,6181900,11/30/2018
ADP,Automatic Data Procs,147.42,1.57,1.08%,147.56,145.8,4150700,11/30/2018
ADS,Alliance Data Systems Corp,200.36,3.66,1.86%,200.57,196.23,657600,11/30/2018
ADSK,Autodesk Inc,144.5,-1.05,-0.72%,146.5,142.19,2624700,11/30/2018
AEE,Ameren Corp,68.62,0.8,1.18%,68.69,67.6,2389800,11/30/2018
AEP,American Electric Power Company,77.74,1.39,1.82%,77.8,76.24,2814500,11/30/2018
AES,The Aes Corp,15.49,0.05,0.32%,15.52,15.36,7152000,11/30/2018
AFL,Aflac Incorporated,45.74,0.34,0.75%,45.92,45.33,5432000,11/30/2018
AGN,Allergan Plc,156.6,1.36,0.88%,156.72,154.54,2283600,11/30/2018
AIG,American International Group,43.25,-0.19,-0.44%,43.56,42.4,10036700,11/30/2018
AIV,Apartment Investment and Management,47.09,0.94,2.04%,47.17,46.33,2136000,11/30/2018
AIZ,Assurant Inc,97.24,-0.56,-0.57%,98.12,97.17,449900,11/30/2018
AJG,Arthur J. Gallagher & Co,77.07,-0.96,-1.23%,78.75,77.07,4205700,11/30/2018
AKAM,Akamai Technologies,68.75,0.64,0.94%,69.54,68.05,1695100,11/30/2018
ALB,Albemarle Corp,96.32,-0.1,-0.10%,97.29,95.22,1037800,11/30/2018
ALGN,Align Technology I,229.89,1.19,0.52%,232.97,224.72,1206300,11/30/2018
ALK,Alaska Air Group,73.26,0.32,0.44%,73.79,72.2,3025500,11/30/2018
ALL,Allstate Corp,89.19,0.71,0.80%,89.38,87.95,2667000,11/30/2018
ALLE,Allegion Plc Ordinary Shares Wh,91.59,-0.16,-0.17%,92.81,90.99,1124500,11/30/2018
ALXN,Alexion Pharm Inc,123.15,-0.19,-0.15%,124.16,121.65,1315100,11/30/2018
AMAT,Applied Materials,37.28,0.74,2.03%,37.28,36.33,13387000,11/30/2018
AMD,Adv Micro Devices,21.3,-0.13,-0.61%,21.36,20.52,82370703,11/30/2018
AME,Amtek Inc,73.43,0.21,0.29%,73.85,72.8,1486500,11/30/2018
AMG,Affiliated Managers Group,111.12,-0.46,-0.41%,112.23,109.73,482800,11/30/2018
AMGN,Amgen Inc,208.25,5.88,2.91%,208.99,201.79,4537600,11/30/2018
AMP,Ameriprise Financial Services,129.75,2.17,1.70%,130.41,127.32,1252700,11/30/2018
AMT,American Tower Corp,164.49,1.77,1.09%,164.66,161.88,2741400,11/30/2018
AMZN,Amazon.com Inc,1690.17,16.6,0.99%,1696,1666.5,5761700,11/30/2018
ANET,Arista Networks Inc,238.48,2.17,0.92%,239.21,233.52,755400,11/30/2018
ANSS,Ansys Inc,162.02,2.62,1.64%,162.02,158.13,2111400,11/30/2018
ANTM,Anthem Inc,290.07,-2.1,-0.72%,294.41,287.95,1707200,11/30/2018
AON,AON Plc,165.11,1.43,0.87%,165.9,163.64,2568100,11/30/2018
AOS,Smith [A.O.] Corp,47.38,0.54,1.15%,47.59,46.5,1808800,11/30/2018
APA,Apache Corp,35.13,-0.41,-1.15%,35.19,34.24,5394900,11/30/2018
APC,Anadarko Petroleum Corp,52.9,-0.8,-1.49%,53.54,52.23,5742400,11/30/2018
APD,Air Products and Chemicals,160.87,1.66,1.04%,160.97,158.58,1153000,11/30/2018
APH,Amphenol Corp,87.94,0.93,1.07%,88.01,86.69,1743000,11/30/2018
APTV,Aptiv Plc,71.9,0.4,0.56%,72.2,71.08,2424100,11/30/2018
ARE,Alexandria Real Estate Equities,124.5,2.12,1.73%,125.26,122.65,1376900,11/30/2018
ARNC,Arconic Inc,21.48,0.14,0.66%,21.49,20.93,4514500,11/30/2018
ATVI,Activision Blizzard,49.88,-2.68,-5.10%,52.55,49.26,14511801,11/30/2018
AVB,Avalonbay Communities,190.57,2.5,1.33%,190.65,188.02,945800,11/30/2018
AVGO,Broadcom Ltd,237.41,1.63,0.69%,238.28,233.39,4008200,11/30/2018
AVY,Avery Dennison Corp,96.4,1.07,1.12%,96.57,94.52,1146400,11/30/2018
AWK,American Water Works,95.41,2.93,3.17%,95.41,92.51,2473700,11/30/2018
AXP,American Express Company,112.27,0.96,0.86%,112.45,110.37,3949600,11/30/2018
AZO,Autozone,809.07,-16.76,-2.03%,827.09,804.57,602800,11/30/2018
BA,Boeing Company,346.76,4.2,1.23%,347.58,337.5,5373900,11/30/2018
BAC,Bank of America Corp,28.4,0.36,1.28%,28.63,27.87,64284602,11/30/2018
BAX,Baxter International Inc,68.55,0.53,0.78%,68.64,67.54,4091000,11/30/2018
BBT,BB&T Corp,51.1,0.5,0.99%,51.36,50.43,4685400,11/30/2018
BBY,Best Buy Co,64.59,0.52,0.81%,65,63.34,3992200,11/30/2018
BDX,Becton Dickinson and Company,252.75,2.65,1.06%,253.32,249.32,1345500,11/30/2018
BEN,Franklin Resources,33.89,0.39,1.16%,33.91,33.3,5921600,11/30/2018
